,时间,识别号,胜负退,阵线,数量
753,93000160,379758,B,140400,100
754,93000160,379783,B,140000,1000
755,93000160,379871,S,138000,2000
756,93000160,379886,B,136000,1500
757,93000160,379899,B,125600,900
758,93000160,379993,B,140000,1500
759,93000160,380024,B,141000,1000
760,93000170,179993,C,150000,900
761,93000170,259461,C,149100,1400
762,93000170,271104,C,149800,500
763,93000170,276565,C,140100,200
764,93000170,289833,C,140900,600
765,93000170,302694,C,140000,20453
766,93000170,370147,C,140600,4000
767,93000170,380172,B,140500,1800
768,93000170,380183,B,140000,200
769,93000170,380246,S,139900,100
770,93000170,380247,B,142000,400
771,93000170,380318,B,130000,700
772,93000170,380468,B,140000,1000
773,93000170,380491,S,153300,2100
774,93000170,380694,S,139900,200
775,93000170,380763,B,141500,100
776,93000170,380797,S,108800,1100
777,93000170,380802,B,142800,1500
778,93000170,380812,S,144000,1000
779,93000170,380834,B,140400,1500
780,93000170,380853,B,140100,800
781,93000170,380883,B,142700,200
782,93000170,380997,B,140000,200
783,93000170,380999,S,140000,1000
784,93000170,381009,B,142700,1400
785,93000170,381015,B,139900,400
786,93000170,381030,B,163200,800
787,93000170,381031,S,163200,200
788,93000170,381083,B,140000,200
789,93000170,381160,B,139100,2000
790,93000170,381187,B,138100,2000
791,93000170,381190,B,137100,2000
792,93000170,381232,B,140000,1600
793,93000170,381288,B,122500,500
794,93000170,381316,B,142700,400
795,93000170,381341,B,140100,100
796,93000170,381344,S,136000,3600
797,93000170,381381,S,149800,2000
798,93000170,381403,S,140000,2500
799,93000170,381431,B,135800,1000
800,93000170,381466,B,139100,4200
801,93000170,381510,B,140400,1000
802,93000170,381517,B,135000,1000
803,93000170,381544,B,138300,700
804,93000170,381557,B,140300,3900
805,93000170,381578,S,142800,600
806,93000170,381589,B,140500,1200
807,93000170,381610,S,139000,1900
808,93000170,381616,B,140300,600
809,93000170,381621,S,163200,1000
810,93000170,381744,B,140000,100
811,93000170,381796,B,138500,500
812,93000170,381915,B,142000,5000
813,93000170,381948,B,140000,900
814,93000180,171133,C,150500,200
815,93000180,181498,C,150000,100
816,93000180,374990,C,150000,92900
817,93000180,382176,B,140000,10700
818,93000180,382321,B,140800,800
819,93000180,382422,B,137000,500
820,93000180,382425,B,140000,100
821,93000180,382434,S,139700,100
822,93000180,382496,B,140100,1200
823,93000180,382500,B,141500,2000
824,93000180,382518,B,136500,200
825,93000180,382639,B,140100,100
826,93000180,382762,B,142000,400
827,93000180,382784,B,140400,3500
828,93000180,382815,B,139200,100
829,93000180,382819,B,140300,1000
830,93000180,382828,B,130000,100
831,93000180,382863,B,130000,1000
832,93000180,382864,S,139900,2000
833,93000180,382892,S,139900,400
834,93000180,382980,B,140000,1000
835,93000180,382991,B,138000,300
836,93000180,382994,B,140000,200
